,Adm_Year,Gender,Age,HSC_Pass_Year,Program,Merit_Scholarship,Uni_Transport,Learn_Mode,Smartphone,PC,Eng_Proficiency,Probation,Suspension,Do you attend in teacher consultancy for any kind of academical problems? ,Relationship,CoCurricular,Living_Arrangement,Health_Issues,Physical_Disabilities,Target,Curr_Sem1,Study_Hours1,Study_Sessions1,SM_Hours1,Avg_Attendance1,Skills1,Skill_Dev_Hours1,Interest_Area1,Prev_SGPA1,Curr_CGPA1,Completed_Credits1,Diploma,Family_Income1
51,2022.0,Male,21.0,2020.0,BCSE,Yes,Yes,Offline,Yes,Yes,Intermediate,No,No,No,Single,Yes,Family,No,No,Good,2.0,2.5,2.0,2.0,95.0,"Programming, Microsoft office",1.0,Artificial Intelligence,4.0,4.0,11,False,20000.0
53,2022.0,Male,20.0,2020.0,BCSE,Yes,No,Offline,Yes,Yes,Intermediate,No,No,No,Single,No,Family,No,No,Excellent,2.0,3.5,1.0,2.0,100.0,Programming,1.0,Machine Learning / Deep Learning,3.9,3.9,12,False,60000.0
63,2020.0,Male,21.0,2019.0,BCSE,Yes,No,Offline,Yes,Yes,Intermediate,No,No,Yes,Single,No,Bachelor,No,No,Average,8.0,3.0,2.0,5.0,95.0,Programming,1.0,Data Science,3.84,3.8,80,False,23000.0
65,2018.0,Male,24.0,2016.0,BCSE,Yes,No,Offline,Yes,Yes,Intermediate,No,No,Yes,Single,Yes,Bachelor,No,No,Poor,12.0,2.0,2.0,4.0,70.0,"Programming, Cyber security",2.0,Data Science,3.31,3.52,132,False,350000.0
79,2020.0,Female,20.0,2019.0,BCSE,Yes,No,Offline,Yes,Yes,Intermediate,No,No,Yes,Married,No,Bachelor,No,No,Average,8.0,1.0,1.0,5.0,80.0,Web development skill(Frontend),2.0,Software,3.49,3.67,71,False,40000.0
80,2020.0,Male,21.0,2019.0,BCSE,No,No,Online,Yes,Yes,Intermediate,No,No,Yes,Single,No,Bachelor,No,No,Poor,8.0,4.0,1.0,2.0,100.0,Web development skill(Frontend),2.0,Networking,3.07,2.74,85,False,20000.0
82,2019.0,Female,21.0,2019.0,BCSE,No,Yes,Offline,Yes,Yes,Intermediate,No,No,Yes,Single,No,Family,No,No,Good,8.0,3.0,1.0,1.0,95.0,Programming,1.0,Data Science,3.76,3.5,83,False,92000.0
83,2020.0,Male,22.0,2019.0,BCSE,No,Yes,Offline,No,Yes,Intermediate,No,No,No,Single,No,Family,No,No,Average,8.0,3.0,2.0,3.0,98.0,"Software Development skill,",2.0,Artificial Intelligence,2.7,2.8,80,False,35000.0
87,2022.0,Male,21.0,2020.0,BCSE,No,Yes,Offline,Yes,Yes,Intermediate,No,No,Yes,Single,Yes,Family,No,No,Good,2.0,3.0,1.0,1.0,95.0,Programming,1.0,Software,3.65,3.39,11,False,45000.0
92,2019.0,Male,23.0,2018.0,BCSE,Yes,No,Offline,Yes,Yes,Intermediate,No,No,No,Single,Yes,Bachelor,No,No,Average,11.0,6.0,2.0,3.0,100.0,"Programming, Software Development",5.0,Artificial Intelligence,3.84,3.1,73,False,30000.0
105,2021.0,Male,19.0,2020.0,BCSE,Yes,No,Offline,Yes,No,Intermediate,No,No,Yes,Single,Yes,Family,No,No,Good,4.0,3.0,1.0,1.0,95.0,"Programming, Photography",1.0,Networking,3.5,3.58,35,False,30000.0
106,2021.0,Male,21.0,2019.0,BCSE,Yes,Yes,Offline,Yes,Yes,Intermediate,No,No,No,Single,Yes,Family,No,No,Excellent,4.0,4.0,2.0,2.0,90.0,"Programming, Web development",2.0,Software,3.38,3.82,27,False,40000.0
112,2019.0,Female,21.0,2019.0,BCSE,No,No,Offline,Yes,Yes,Basic,Yes,No,Yes,Single,Yes,Bachelor,No,No,Poor,9.0,2.0,3.0,3.0,100.0,"Web development skill(Frontend),",1.0,Software,1.89,2.69,86,False,20000.0
113,2021.0,Female,19.0,2020.0,BCSE,Yes,No,Offline,Yes,No,Advance,No,No,Yes,Single,Yes,Family,No,No,Excellent,4.0,7.0,3.0,3.0,90.0,Programming,1.0,Data Science,3.7,3.77,35,False,25000.0
116,2019.0,Male,25.0,2018.0,BCSE,Yes,No,Offline,Yes,Yes,Intermediate,Yes,No,No,Single,No,Bachelor,Yes,No,Poor,11.0,2.0,1.0,2.0,70.0,"Programming, Web development",4.0,Networking,0.0,2.53,91,False,30000.0
118,2018.0,Male,24.0,2017.0,BCSE,No,No,Offline,Yes,Yes,Basic,Yes,Yes,Yes,Married,Yes,Bachelor,No,No,Poor,13.0,2.0,2.0,4.0,50.0,"Web development skill(Backend),",5.0,Software,2.2,2.66,110,False,60000.0
119,2017.0,Male,22.0,2017.0,BCSE,Yes,No,Offline,Yes,Yes,Advance,Yes,No,Yes,Single,No,Bachelor,Yes,No,Poor,5.0,1.5,2.0,4.0,100.0,"Programming, Software Development",4.0,Data Science,2.6,2.6,90,False,20000.0
120,2019.0,Female,22.0,2018.0,BCSE,No,Yes,Offline,Yes,Yes,Intermediate,No,No,Yes,Married,No,Family,Yes,No,Average,11.0,3.0,2.0,3.0,95.0,Networking,2.0,Software,2.7,2.91,120,False,150000.0
121,2018.0,Male,23.0,2017.0,BCSE,No,No,Online,Yes,Yes,Intermediate,Yes,Yes,Yes,Single,Yes,Family,No,No,Average,14.0,2.0,2.0,1.0,90.0,"Programming, Software Development",2.0,Machine Learning / Deep Learning,2.87,2.99,120,False,30000.0
126,2019.0,Male,23.0,2018.0,BCSE,No,Yes,Offline,Yes,Yes,Intermediate,No,No,No,In a relationship,Yes,Family,Yes,No,Poor,9.0,1.0,1.0,1.0,70.0,"Web development skill(Backend),",1.0,UI/UX,2.7,2.92,76,False,15000.0
129,2018.0,Female,23.0,2016.0,BCSE,No,Yes,Offline,Yes,Yes,Basic,Yes,No,No,Single,No,Bachelor,Yes,Yes,Poor,14.0,3.5,2.0,1.0,70.0,"Programming, Networking",2.0,Hardware,2.98,2.96,118,False,20000.0
133,2019.0,Male,22.0,2019.0,BCSE,No,No,Offline,Yes,Yes,Intermediate,No,No,No,Single,No,Bachelor,No,No,Average,9.0,3.0,4.0,2.0,99.0,"Programming, Web development",7.0,Web Development,3.52,2.9,100,False,15000.0
134,2022.0,Male,23.0,2018.0,BCSE,Yes,Yes,Offline,Yes,Yes,Intermediate,No,No,Yes,Single,Yes,Bachelor,No,No,Average,8.0,4.0,2.0,3.0,100.0,Programming,2.0,Software,3.48,3.08,68,False,20000.0
138,2018.0,Male,25.0,2016.0,BCSE,No,No,Online,Yes,Yes,Advance,Yes,No,Yes,Single,Yes,Family,No,No,Poor,14.0,6.0,4.0,2.0,25.0,"Programming, Software Development",4.0,Software,3.16,2.68,121,False,60000.0
139,2021.0,Female,21.0,2019.0,BCSE,No,No,Offline,Yes,Yes,Basic,Yes,No,Yes,Married,No,Family,No,No,Poor,5.0,2.5,3.0,1.0,87.0,Programming,1.0,UI/UX,1.92,2.42,39,False,60000.0
152,2019.0,Male,23.0,2018.0,BCSE,No,Yes,Offline,Yes,Yes,Intermediate,No,No,Yes,Single,No,Bachelor,No,No,Good,11.0,5.0,5.0,3.0,90.0,Networking,2.0,Networking,3.29,3.23,114,False,28000.0
157,2019.0,Female,22.0,2018.0,BCSE,No,Yes,Offline,Yes,Yes,Basic,Yes,No,No,Married,No,Bachelor,Yes,No,Poor,9.0,3.0,1.0,5.0,80.0,Programming,3.0,Software,2.0,2.22,77,False,4000.0
159,2019.0,Female,21.0,2018.0,BCSE,No,No,Offline,Yes,Yes,Intermediate,Yes,No,Yes,Single,No,Bachelor,Yes,No,Average,10.0,5.5,1.0,3.0,80.0,Programming,2.0,Data Science,3.3,3.24,105,False,80000.0
161,2019.0,Male,21.0,2018.0,BCSE,No,No,Online,Yes,Yes,Intermediate,No,No,Yes,Single,No,Bachelor,No,No,Poor,9.0,1.5,2.0,3.0,90.0,"Programming, Web development",6.0,Data Science,3.01,2.76,79,False,65000.0
163,2019.0,Male,22.0,2018.0,BCSE,No,No,Offline,Yes,Yes,Basic,No,No,Yes,Single,No,Bachelor,No,No,Good,9.0,3.0,2.0,3.0,95.0,"Web development skill(Frontend),",2.0,Data Science,3.2,3.3,103,False,40000.0
168,2020.0,Female,23.0,2018.0,BCSE,No,Yes,Offline,Yes,Yes,Basic,Yes,Yes,Yes,Married,Yes,Family,No,No,Poor,7.0,3.0,2.0,4.0,40.0,Web development skill(Backend),2.0,"Software, Hardware",2.4,2.4,70,False,60000.0
170,2021.0,Male,22.0,2020.0,BCSE,Yes,Yes,Offline,Yes,Yes,Intermediate,No,No,No,Single,Yes,Family,No,No,Poor,22.0,4.5,2.0,2.0,90.0,"Programming, Digital Marketing",1.0,Data Science,2.16,2.75,35,False,40000.0
173,2021.0,Male,21.0,2020.0,BCSE,No,No,Offline,No,Yes,Intermediate,Yes,No,Yes,Single,No,Bachelor,No,No,Poor,5.0,5.0,3.0,2.0,97.0,"Programming, Software Development",4.0,Software,0.0,2.31,46,False,50000.0
174,2021.0,Female,20.0,2020.0,BCSE,No,Yes,Offline,Yes,Yes,Basic,No,No,No,Single,No,Family,Yes,Yes,Poor,5.0,2.0,3.0,3.0,80.0,Programming,3.0,Software,1.75,2.51,39,False,50000.0
181,2020.0,Female,20.0,2018.0,BCSE,No,No,Offline,Yes,Yes,Advance,No,No,Yes,Single,No,Family,No,No,Average,8.0,3.0,2.0,2.0,98.0,Programming,3.0,Hardware,2.6,3.39,75,False,500000.0
182,2021.0,Male,20.0,2020.0,BCSE,Yes,No,Offline,Yes,Yes,Intermediate,No,No,No,In a relationship,No,Bachelor,No,No,Good,4.0,7.0,2.5,1.0,90.0,"Programming, Web development",9.0,Data Science,3.33,3.5,33,False,40000.0
183,2021.0,Male,24.0,2017.0,BCSE,No,No,Offline,Yes,Yes,Intermediate,No,No,No,In a relationship,Yes,Bachelor,No,No,Excellent,4.0,3.0,2.0,2.0,90.0,Programming,2.0,Software,4.0,3.92,34,False,40000.0
184,2021.0,Male,22.0,2020.0,BCSE,Yes,Yes,Offline,Yes,Yes,Basic,No,No,Yes,Single,Yes,Family,No,No,Good,2.0,6.0,3.0,2.0,100.0,Cyber security,3.0,Networking,3.25,3.25,11,False,30000.0
185,2019.0,Male,22.0,2018.0,BCSE,Yes,No,Offline,Yes,Yes,Basic,No,No,Yes,Single,Yes,Family,No,No,Average,11.0,1.0,1.0,1.0,100.0,Cyber security,2.0,Software,3.46,3.1,102,False,40000.0
186,2022.0,Male,19.0,2020.0,BCSE,Yes,No,Offline,Yes,Yes,Intermediate,No,No,No,Single,No,Bachelor,No,No,Average,2.0,1.5,2.0,2.0,85.0,"Programming, Software Development",1.0,Networking,3.73,3.73,11,False,20000.0
187,2014.0,Male,26.0,2014.0,BCSE,No,Yes,Online,Yes,Yes,Basic,Yes,No,Yes,Single,No,Family,No,No,Poor,22.0,3.0,2.0,1.0,100.0,"Cyber security, Networking",5.0,Networking,2.0,2.0,80,False,25000.0
188,2019.0,Male,25.0,2017.0,BCSE,Yes,Yes,Offline,Yes,Yes,Intermediate,No,No,Yes,Single,Yes,Bachelor,No,No,Average,11.0,2.0,1.0,5.0,80.0,Basic,1.0,Software,3.78,3.56,132,False,15200.0
189,2017.0,Male,24.0,2015.0,BCSE,Yes,Yes,Offline,Yes,Yes,Intermediate,No,No,Yes,Single,Yes,Family,No,No,Average,15.0,6.0,4.0,1.0,100.0,Programming,2.0,Software,3.42,3.02,136,False,50000.0
190,2018.0,Female,21.0,2017.0,BCSE,No,No,Online,Yes,Yes,Advance,Yes,No,Yes,Single,No,Bachelor,Yes,No,Average,14.0,4.0,5.0,5.0,95.0,Programming,1.0,Software,3.5,3.2,122,False,15000.0
191,2022.0,Male,21.0,2020.0,BCSE,Yes,No,Offline,Yes,Yes,Intermediate,No,No,Yes,Single,Yes,Bachelor,No,No,Good,2.0,2.5,2.0,3.0,90.0,"Programming, Software Development",2.0,Artificial Intelligence,3.26,3.26,11,False,22000.0
192,2022.0,Female,21.0,2020.0,BCSE,Yes,Yes,Offline,Yes,Yes,Basic,Yes,No,No,Single,No,Family,No,No,Poor,2.0,2.5,2.0,2.0,70.0,Cyber security,1.0,Artificial Intelligence,3.9,3.8,12,False,25000.0
193,2019.0,Female,21.0,2018.0,BCSE,Yes,Yes,Online,Yes,Yes,Intermediate,No,No,No,Single,No,Family,No,No,Average,9.0,2.0,1.0,5.0,95.0,Programming,1.0,Software,3.7,3.68,105,False,50000.0
194,2019.0,Female,22.0,2018.0,BCSE,No,No,Offline,Yes,Yes,Intermediate,No,No,No,Single,No,Bachelor,No,No,Good,11.0,3.0,2.0,3.0,100.0,"Web development skill(Backend),",1.0,Software,3.82,3.65,78,False,30000.0
195,2019.0,Female,21.0,2018.0,BCSE,Yes,No,Offline,Yes,Yes,Advance,No,No,No,Single,Yes,Family,No,No,Average,11.0,5.0,2.0,5.0,99.0,Web development skill(Frontend),2.0,Data Science,3.85,3.72,126,False,100000.0
196,2016.0,Male,24.0,2016.0,BCSE,No,Yes,Offline,Yes,Yes,Advance,Yes,No,Yes,Married,Yes,Bachelor,No,No,Average,18.0,2.5,2.0,3.0,95.0,"Programming, Software Development",3.0,Software,3.1,2.84,133,False,20000.0
197,2022.0,Female,20.0,2020.0,BCSE,Yes,No,Online,Yes,No,Intermediate,No,No,Yes,Single,No,Bachelor,No,No,Poor,2.0,2.0,2.0,6.0,90.0,"Networking, Nothing",0.0,Data Science,2.67,2.67,12,False,35000.0
198,2019.0,Female,23.0,2017.0,BCSE,No,Yes,Offline,Yes,Yes,Intermediate,No,No,No,Single,No,Bachelor,No,No,Average,9.0,3.0,2.0,1.0,80.0,"Programming, Web development",1.0,Data Science,3.82,3.6,84,False,30000.0
199,2022.0,Male,20.0,2020.0,BCSE,Yes,Yes,Offline,Yes,Yes,Basic,No,No,No,Single,Yes,Family,No,No,Good,2.0,5.0,2.0,2.0,100.0,Programming,1.0,Networking,3.72,3.72,11,False,40000.0
200,2019.0,Female,21.0,2018.0,BCSE,No,Yes,Offline,Yes,Yes,Intermediate,No,No,Yes,Single,No,Family,No,No,Good,2022.0,2.0,1.0,2.0,90.0,Programming,1.0,Artificial Intelligence,3.51,3.56,125,False,40000.0
201,2020.0,Male,22.0,2018.0,BCSE,No,No,Online,Yes,No,Intermediate,No,No,Yes,Single,No,Bachelor,Yes,No,Good,8.0,8.5,7.0,4.0,90.0,"Software Development skill,",5.0,Data Science,3.48,3.35,75,False,40000.0
202,2019.0,Male,22.0,2018.0,BCSE,No,No,Offline,Yes,Yes,Basic,No,No,Yes,Single,No,Bachelor,No,No,Average,11.0,3.5,2.0,3.0,90.0,Software Development skill,1.0,Machine Learning / Deep Learning,2.65,2.99,121,False,50000.0
203,2019.0,Male,22.0,2018.0,BCSE,No,Yes,Online,Yes,Yes,Intermediate,No,No,Yes,In a relationship,Yes,Bachelor,No,No,Good,11.0,6.5,3.5,2.0,100.0,"Programming, Software Development",5.0,Machine Learning / Deep Learning,3.72,3.42,131,False,25000.0
204,2021.0,Male,23.0,2020.0,BCSE,Yes,No,Online,Yes,No,Basic,Yes,No,Yes,Single,No,Bachelor,No,No,Poor,2022.0,3.5,2.0,3.0,85.0,Programming,1.0,Software,1.96,0.0,11,True,20000.0
205,2019.0,Female,23.0,2017.0,BCSE,Yes,Yes,Offline,Yes,Yes,Advance,No,No,Yes,Married,Yes,Family,No,No,Good,10.0,2.0,3.0,1.0,95.0,Networking,2.0,Networking,3.38,3.6,120,False,50000.0
206,2018.0,Male,23.0,2017.0,BCSE,No,Yes,Online,Yes,Yes,Intermediate,Yes,No,No,In a relationship,Yes,Family,No,No,Average,14.0,7.0,2.0,2.0,80.0,"Programming, Software Development",1.0,Data Science,2.8,2.8,130,False,18000.0
207,2019.0,Female,21.0,2018.0,BCSE,No,No,Online,Yes,Yes,Intermediate,No,No,Yes,Single,No,Family,Yes,No,Good,9.0,5.0,2.0,4.0,100.0,"Programming, Web development",2.0,Web Development,3.36,3.59,100,False,40000.0
208,2020.0,Male,22.0,2028.0,BCSE,No,No,Offline,Yes,Yes,Intermediate,No,No,Yes,Single,No,Bachelor,No,No,Average,8.0,2.5,2.0,4.0,85.0,"Software Development skill,",1.0,Data Science,3.33,3.1,80,False,25000.0
209,2017.0,Male,25.0,2016.0,BCSE,No,No,Online,Yes,Yes,Intermediate,Yes,No,Yes,Single,Yes,Family,Yes,Yes,Poor,15.0,1.5,1.0,2.0,90.0,"Networking, MIS",2.0,Data Science,2.11,2.54,126,False,80000.0
210,2021.0,Male,21.0,2020.0,BCSE,No,No,Offline,Yes,Yes,Basic,No,No,Yes,Single,No,Family,Yes,No,Poor,4.0,1.0,1.0,6.0,100.0,Programming,20.0,Software,2.83,3.05,35,False,20000.0
211,2021.0,Male,21.0,2019.0,BCSE,Yes,Yes,Online,Yes,Yes,Intermediate,Yes,No,No,Single,Yes,Family,No,No,Poor,4.0,3.5,2.0,4.0,95.0,"Programming, Software Development",1.0,Networking,2.2,2.2,30,False,25000.0
212,2019.0,Male,23.0,2018.0,BCSE,No,Yes,Offline,Yes,Yes,Intermediate,No,No,Yes,Single,Yes,Family,No,No,Poor,11.0,6.0,2.0,6.0,98.0,"Programming, Web development",3.0,Machine Learning / Deep Learning,3.2,3.22,110,False,50000.0
213,2019.0,Male,26.0,2014.0,BCSE,No,No,Offline,Yes,Yes,Intermediate,Yes,No,Yes,Single,Yes,Bachelor,No,No,Poor,10.0,4.0,2.0,1.0,70.0,"Programming, Web development",2.0,Data Science,2.81,3.2,104,False,12000.0
214,2022.0,Male,20.0,2020.0,BCSE,No,No,Offline,No,Yes,Basic,No,No,No,Single,Yes,Bachelor,No,No,Good,2.0,5.0,2.0,2.0,100.0,Programming,5.0,Software,3.48,3.48,11,False,20000.0
215,2022.0,Female,20.0,2020.0,BCSE,Yes,No,Offline,Yes,Yes,Intermediate,No,No,No,Single,No,Family,Yes,No,Poor,2.0,5.5,1.0,6.0,90.0,Programming,4.0,Networking,4.0,3.39,11,False,50000.0
216,2022.0,Male,20.0,2020.0,BCSE,Yes,Yes,Offline,Yes,Yes,Basic,Yes,No,No,Single,No,Family,No,No,Poor,1.0,2.0,7.0,6.0,100.0,"Web development skill(Backend),",4.0,Data Science,4.0,4.0,14,False,20000.0
217,2019.0,Male,23.0,2017.0,BCSE,Yes,Yes,Offline,Yes,Yes,Intermediate,No,No,No,Single,No,Bachelor,No,No,Poor,9.0,4.0,2.0,6.0,90.0,"Programming, Web development",1.0,Machine Learning / Deep Learning,3.7,3.5,89,False,50000.0
219,2022.0,Female,21.0,2019.0,BCSE,Yes,Yes,Offline,Yes,Yes,Intermediate,No,No,No,Single,No,Family,No,No,Poor,2.0,4.0,3.0,5.0,90.0,Software Development skill,3.0,Software,3.68,0.0,11,False,25000.0
220,2022.0,Male,21.0,2020.0,BCSE,Yes,No,Offline,Yes,Yes,Intermediate,No,No,No,Single,No,Bachelor,No,No,Good,2022.0,5.0,2.0,2.0,95.0,Programming,2.0,Software,3.3,3.3,11,False,50000.0
221,2018.0,Male,22.0,2016.0,BCSE,No,No,Online,Yes,Yes,Intermediate,No,No,Yes,Single,Yes,Bachelor,No,No,Average,12.0,4.5,2.0,2.0,95.0,"Cyber security, Phishing",6.0,Hardware,3.85,3.1,115,False,25000.0
222,2019.0,Male,21.0,2018.0,BCSE,Yes,No,Online,Yes,Yes,Intermediate,No,No,Yes,Single,No,Bachelor,No,No,Good,11.0,2.0,2.0,3.0,90.0,"Programming, Web development",5.0,Data Science,4.0,3.78,120,False,50000.0
223,2018.0,Female,24.0,2018.0,BCSE,No,No,Offline,Yes,Yes,Intermediate,No,No,No,Single,Yes,Family,No,No,Average,8.0,4.0,2.0,1.0,97.0,"Programming, Web development",2.0,Machine Learning / Deep Learning,2.98,2.91,136,False,20000.0
224,2020.0,Female,22.0,2018.0,BCSE,Yes,Yes,Offline,Yes,Yes,Advance,No,No,No,Single,Yes,Family,No,No,Poor,8.0,5.0,2.0,15.0,100.0,"Programming, Web development",4.0,Data Science,3.64,3.75,88,False,34000.0
225,2022.0,Female,19.0,2020.0,BCSE,Yes,No,Offline,Yes,Yes,Intermediate,No,No,No,Single,No,Bachelor,No,No,Good,2.0,6.5,2.0,1.0,95.0,"Programming, Software Development",2.0,Software,3.56,3.58,11,False,10000.0
226,2019.0,Male,23.6,2018.0,BCSE,No,Yes,Offline,Yes,Yes,Advance,No,No,Yes,In a relationship,No,Family,No,No,Poor,11.0,1.0,1.0,2.0,65.0,"Digital Marketing, Teaching",1.0,"Hardware, Physics",1.68,3.1,120,False,30000.0
227,2022.0,Male,20.0,2020.0,BCSE,No,Yes,Online,Yes,Yes,Basic,No,No,No,Single,No,Bachelor,No,No,Poor,2.0,3.0,3.0,5.0,80.0,Programming,2.0,Networking,2.54,2.54,11,False,40000.0
228,2022.0,Male,20.0,2020.0,BCSE,No,No,Offline,Yes,Yes,Basic,No,No,No,Single,No,Bachelor,No,No,Excellent,2.0,7.5,3.0,1.0,95.0,Programming,1.0,Software,3.9,3.9,11,False,50000.0
229,2019.0,Female,22.0,2019.0,BCSE,Yes,Yes,Offline,Yes,Yes,Basic,No,No,Yes,Single,No,Family,No,No,Excellent,9.0,6.0,3.0,3.0,90.0,Networking,1.0,Networking,3.84,3.77,99,False,60000.0
230,2019.0,Male,22.0,2018.0,BCSE,Yes,Yes,Offline,Yes,Yes,Intermediate,No,No,Yes,Single,Yes,Bachelor,Yes,No,Poor,2.0,1.0,2.0,20.0,70.0,"Programming, Web development",6.0,Machine Learning / Deep Learning,3.68,3.39,117,False,16000.0
231,2018.0,Female,23.0,2016.0,BCSE,Yes,Yes,Offline,Yes,Yes,Advance,No,No,No,Single,No,Family,No,No,Average,9.0,2.0,1.0,2.0,95.0,Web development skill(Frontend),2.0,Machine Learning / Deep Learning,3.14,3.14,101,False,40000.0
232,2019.0,Male,23.0,2018.0,BCSE,No,No,Offline,Yes,Yes,Intermediate,No,No,Yes,Single,No,Bachelor,No,No,Good,11.0,4.5,2.0,4.0,95.0,"Programming, Networking",1.0,Networking,3.69,3.23,125,False,30000.0
233,2017.0,Male,26.0,2014.0,BCSE,No,No,Online,Yes,Yes,Intermediate,No,No,Yes,Single,No,Bachelor,No,No,Average,17.0,3.0,2.0,1.0,95.0,"Programming, Software Development",6.0,Machine Learning / Deep Learning,2.73,3.08,110,False,25000.0
234,2019.0,Male,24.0,2018.0,BCSE,No,No,Online,Yes,Yes,Intermediate,No,No,No,Single,No,Bachelor,No,No,Average,11.0,2.5,2.0,1.0,80.0,"Programming, Web development",3.0,Software,3.48,3.0,123,True,25000.0
235,2022.0,Male,20.0,2020.0,BCSE,Yes,Yes,Online,Yes,Yes,Intermediate,No,No,Yes,Single,Yes,Family,No,No,Poor,2.0,5.0,2.0,12.0,100.0,Programming,2.0,Software,2.61,3.39,11,False,40000.0
237,2018.0,Male,23.0,2018.0,BCSE,No,No,Offline,Yes,Yes,Intermediate,Yes,No,Yes,Single,Yes,Bachelor,No,No,Poor,12.0,1.0,1.0,2.0,95.0,"Programming, Web development",1.0,Software,2.8,2.68,84,False,50000.0
238,2020.0,Male,23.0,2019.0,BCSE,No,No,Offline,Yes,Yes,Basic,Yes,No,Yes,Single,No,Bachelor,No,No,Poor,7.0,1.5,3.0,3.0,90.0,Programming,2.0,Software,1.52,2.15,70,False,36000.0
239,2020.0,Male,22.0,2019.0,BCSE,No,No,Offline,Yes,Yes,Intermediate,No,No,Yes,Single,Yes,Bachelor,No,No,Average,8.0,2.0,2.0,3.0,100.0,"Programming, Web development",2.0,Data Science,3.12,3.08,83,False,2530.0
240,2018.0,Male,24.0,2017.0,BCSE,No,No,Offline,Yes,Yes,Intermediate,No,No,Yes,In a relationship,No,Family,No,No,Good,12.0,5.0,6.0,1.0,90.0,Networking,3.0,Networking,3.68,3.33,118,False,20000.0
244,2020.0,Male,19.0,2019.0,BCSE,Yes,No,Online,Yes,Yes,Basic,No,No,No,Single,No,Bachelor,No,No,Good,8.0,2.5,2.0,1.0,90.0,"Programming, Software Development",2.0,Data Science,3.36,3.72,88,False,20000.0
245,2022.0,Male,20.0,2020.0,BCSE,Yes,No,Offline,Yes,Yes,Intermediate,No,No,No,Single,No,Family,No,No,Average,2.0,1.0,1.0,4.0,99.0,Programming,2.0,Networking,3.83,3.83,11,False,35000.0
246,2019.0,Male,22.0,2018.0,BCSE,No,Yes,Online,Yes,Yes,Intermediate,No,No,Yes,Single,No,Family,No,No,Poor,22.0,4.0,2.0,1.0,90.0,"Programming, Software Development",4.0,Machine Learning / Deep Learning,1.98,2.98,104,False,25000.0
